,원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
692,SR13801,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,2,액상리그닌,3,4.0,0.05,0,KG,,0.0,30.0,1,
693,SR16600,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,6,RA-300S,1,440.0,5.5,0,KG,,0.0,5.0,1,
694,SR35224,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,4,WRE-770,18,1272.0,15.9,0,KG,,0.0,20.0,1,
695,SR35903,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,7,PCA3000,10,400.0,5.0,0,KG,마지막투입,0.0,30.0,1,
696,SR35904,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,5,Urea-20%,4,1576.0,19.7,0,KG,,0.0,40.0,1,
697,SR68222,A,WO,20000,2021-02-24,HR1521022408,0,PEMA013111900,58,3,소포제(MR-130),0,8.0,0.1,0,KG,,0.0,0.0,1,
698,SR11002,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,1,사용수,30,6358.0,63.58,0,KG,재활용수800kg적용,15.0,45.0,1,
699,SR13801,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,2,액상리그닌,3,5.0,0.05,0,KG,,0.0,0.0,1,
700,SR16600,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,7,RA-300S,1,137.0,1.37,0,KG,,0.0,5.0,1,
701,SR35224,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,4,WRE-770,18,1400.0,14.0,0,KG,,0.0,20.0,1,
702,SR35225,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,5,WRE-550T,21,440.0,4.4,0,KG,,0.0,15.0,1,
703,SR35903,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,8,PCA3000,10,400.0,4.0,0,KG,마지막투입,0.0,30.0,1,
704,SR35904,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,6,Urea-20%,4,1250.0,12.5,0,KG,,0.0,40.0,1,
705,SR68222,A,WO,20000,2021-02-24,HR1521022410,0,PEMA033021700,78,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
706,SR11002,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,1,사용수,30,4788.0,59.85,0,KG,재활용수640KG,12.0,60.0,1,
707,SR13801,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,2,액상리그닌,3,4.0,0.05,0,KG,,0.0,0.0,1,
708,SR16600,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,7,RA-300S,1,120.0,1.5,0,KG,,0.0,5.0,1,
709,SR35224,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,4,WRE-770,18,1456.0,18.2,0,KG,,0.0,20.0,1,
710,SR35225,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,5,WRE-550T,21,624.0,7.8,0,KG,,0.0,15.0,1,
711,SR35904,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,6,Urea-20%,4,1000.0,12.5,0,KG,,0.0,40.0,1,
712,SR68222,A,WO,20000,2021-02-24,HR1521022412,0,PEMA023125200,15,3,소포제(MR-130),0,8.0,0.1,0,KG,,0.0,0.0,1,
713,SR11002,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,1,사용수,30,4996.0,62.45,0,KG,재활용수640KG,12.0,45.0,1,
714,SR13801,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,2,액상리그닌,3,4.0,0.05,0,KG,,0.0,0.0,1,
715,SR16600,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,7,RA-300S,1,48.0,0.6,0,KG,,0.0,5.0,1,
716,SR35224,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,4,WRE-770,18,1344.0,16.8,0,KG,,0.0,20.0,1,
717,SR35225,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,5,WRE-550T,21,896.0,11.2,0,KG,,0.0,15.0,1,
718,SR35904,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,6,Urea-20%,4,704.0,8.8,0,KG,,0.0,40.0,1,
719,SR68222,A,WO,20000,2021-02-24,HR1521022413,0,PEMA023125200,14,3,소포제(MR-130),0,8.0,0.1,0,KG,,0.0,0.0,1,
720,SR11002,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,1,사용수,30,7268.0,72.68,0,KG,재활용수800kg,20.0,45.0,1,
721,SR13801,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
722,SR16600,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,8,RA-300S,1,14.0,0.14,0,KG,,0.0,5.0,1,
723,SR35217,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,6,SRE-110(50%),24,400.0,4.0,0,KG,,0.0,15.0,1,
724,SR35225,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,4,WRE-550T,21,798.0,7.98,0,KG,,0.0,15.0,1,
725,SR35228,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,5,SRE-200SD-T,14,800.0,8.0,0,KG,,0.0,10.0,1,
726,SR35904,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,7,Urea-20%,4,700.0,7.0,0,KG,,0.0,40.0,1,
727,SR68222,A,WO,20000,2021-02-24,HR1521022419,0,PEMA023026300,106,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
728,SR11002,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,1,사용수,30,4575.0,45.75,0,KG,재활용수800kg,11.0,45.0,1,
729,SR13801,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,2,액상리그닌,3,4.0,0.04,0,KG,,0.0,30.0,1,
730,SR16600,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,8,RA-300S,1,390.0,3.9,0,KG,,0.0,5.0,1,
731,SR35224,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,4,WRE-770,18,994.0,9.94,0,KG,,0.0,20.0,1,
732,SR35225,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,5,WRE-550T,21,1120.0,11.2,0,KG,,0.0,15.0,1,
733,SR35228,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,6,SRE-200SD-T,14,500.0,5.0,0,KG,,0.0,10.0,1,
734,SR35904,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,7,Urea-20%,4,410.0,4.1,0,KG,,0.0,40.0,1,
735,SR38117,A,WO,20000,2021-02-24,HR1521022422,0,PEMA033014200,23,3,PC소포제,0,7.0,0.07,0,KG,,0.0,0.0,1,
736,SR11002,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,1,사용수,30,4575.0,45.75,0,KG,재활용수800kg,11.0,45.0,1,
737,SR13801,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,2,액상리그닌,3,4.0,0.04,0,KG,,0.0,30.0,1,
738,SR16600,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,8,RA-300S,1,390.0,3.9,0,KG,,0.0,5.0,1,
739,SR35224,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,4,WRE-770,18,994.0,9.94,0,KG,,0.0,20.0,1,
740,SR35225,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,5,WRE-550T,21,1120.0,11.2,0,KG,,0.0,15.0,1,
741,SR35228,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,6,SRE-200SD-T,14,500.0,5.0,0,KG,,0.0,10.0,1,
742,SR35904,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,7,Urea-20%,4,410.0,4.1,0,KG,,0.0,40.0,1,
743,SR38117,A,WO,20000,2021-02-24,HR1521022423,0,PEMA033014200,23,3,PC소포제,0,7.0,0.07,0,KG,,0.0,0.0,1,
744,SR11002,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,1,사용수,30,6635.0,66.35,0,KG,청수500kg 총10 500kg,20.0,60.0,1,
745,SR13801,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,30.0,1,
746,SR16600,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,7,RA-300S,1,75.0,0.75,0,KG,,0.0,5.0,1,
747,SR35224,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,4,WRE-770,18,1300.0,13.0,0,KG,,0.0,20.0,1,
748,SR35228,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,5,SRE-200SD-T,14,300.0,3.0,0,KG,,0.0,10.0,1,
749,SR35903,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,8,PCA3000,10,700.0,7.0,0,KG,마지막투입,0.0,30.0,1,
750,SR35904,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,6,Urea-20%,4,970.0,9.7,0,KG,,0.0,40.0,1,
751,SR68222,A,WO,20000,2021-02-24,HR1521022425,0,PEMA023041503,232,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
752,SR11002,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,1,사용수,30,4984.0,62.3,0,KG,재활용수640kg,16.0,60.0,1,
753,SR13801,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,2,액상리그닌,3,8.0,0.1,0,KG,,0.0,0.0,1,
754,SR16600,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,7,RA-300S,1,280.0,3.5,0,KG,,0.0,5.0,1,
755,SR35224,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,4,WRE-770,18,1200.0,15.0,0,KG,,0.0,20.0,1,
756,SR35225,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,5,WRE-550T,21,160.0,2.0,0,KG,,0.0,15.0,1,
757,SR35903,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,8,PCA3000,10,360.0,4.5,0,KG,마지막 투입해주세요,0.0,30.0,1,
758,SR35904,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,6,Urea-20%,4,1000.0,12.5,0,KG,,0.0,40.0,1,
759,SR68222,A,WO,20000,2021-02-24,HR1521022426,0,PEMA043049101,78,3,소포제(MR-130),0,8.0,0.1,0,KG,,0.0,0.0,1,
760,SR11002,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,1,사용수,30,7082.0,70.82,0,KG,,20.0,60.0,1,
761,SR13801,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,30.0,1,
762,SR35218,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,4,WRE-580FX(55%),16,2009.0,20.09,0,KG,,0.0,15.0,1,
763,SR35225,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,5,WRE-550T,21,389.0,3.89,0,KG,,0.0,15.0,1,
764,SR35758,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,6,M30,7,500.0,5.0,0,KG,마지막투입!!,0.0,30.0,1,
765,SR38117,A,WO,20000,2021-02-24,PR1021022411,0,PEMA013901600,112,3,PC소포제,0,10.0,0.1,0,KG,,0.0,0.0,1,
766,SR11002,A,WO,20000,2021-02-24,PR1021022420,0,PEMA013024804,154,1,사용수,30,14212.0,71.06,0,KG,,20.0,60.0,1,
767,SR35218,A,WO,20000,2021-02-24,PR1021022420,0,PEMA013024804,154,3,WRE-580FX(55%),16,2272.0,11.36,0,KG,,0.0,15.0,1,
768,SR35225,A,WO,20000,2021-02-24,PR1021022420,0,PEMA013024804,154,4,WRE-550T,21,2496.0,12.48,0,KG,,0.0,15.0,1,
769,SR35758,A,WO,20000,2021-02-24,PR1021022420,0,PEMA013024804,154,5,M30,7,1000.0,5.0,0,KG,"""마지막에 투입하세요!""",0.0,30.0,1,
770,SR38117,A,WO,20000,2021-02-24,PR1021022420,0,PEMA013024804,154,2,PC소포제,0,20.0,0.1,0,KG,,0.0,0.0,1,
771,SR11002,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,1,사용수,30,6246.0,62.46,0,KG,,12.0,45.0,1,
772,SR13801,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,2,액상리그닌,3,5.0,0.05,0,KG,,0.0,0.0,1,
773,SR16600,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,6,RA-300S,1,150.0,1.5,0,KG,,0.0,5.0,1,
774,SR35218,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,4,WRE-580FX(55%),16,2072.0,20.72,0,KG,,0.0,15.0,1,
775,SR35225,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,5,WRE-550T,21,1520.0,15.2,0,KG,,0.0,15.0,1,
776,SR38117,A,WO,20000,2021-02-24,SR2021022406,0,PEMA033082100,15,3,PC소포제,0,7.0,0.07,0,KG,,0.0,0.0,1,
777,SR11002,A,WO,20000,2021-02-24,SR2021022427,0,PEMA013035700,2,1,사용수,30,7596.0,75.96,0,KG,,17.0,60.0,1,
778,SR13801,A,WO,20000,2021-02-24,SR2021022427,0,PEMA013035700,2,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
779,SR35218,A,WO,20000,2021-02-24,SR2021022427,0,PEMA013035700,2,4,WRE-580FX(55%),16,2127.0,21.27,0,KG,,0.0,15.0,1,
780,SR35228,A,WO,20000,2021-02-24,SR2021022427,0,PEMA013035700,2,5,SRE-200SD-T,14,260.0,2.6,0,KG,,0.0,10.0,1,
781,SR38117,A,WO,20000,2021-02-24,SR2021022427,0,PEMA013035700,2,3,PC소포제,0,7.0,0.07,0,KG,,0.0,0.0,1,
782,SR11002,A,WO,20000,2021-02-25,580F21022504,0,PEMA013099150,94,1,사용수,30,1780.0,8.9,0,KG,,0.0,60.0,1,
783,SR13801,A,WO,20000,2021-02-25,580F21022504,0,PEMA013099150,94,2,액상리그닌,3,40.0,0.2,0,KG,,0.0,0.0,1,
784,SR35218,A,WO,20000,2021-02-25,580F21022504,0,PEMA013099150,94,3,WRE-580FX(55%),16,18180.0,90.9,0,KG,,0.0,15.0,1,
785,SR15500,A,WO,20000,2021-02-25,AE21022437,0,SSA013035307,37,1,공기연행제,6,1000.0,100.0,0,KG,CJ,0.0,0.0,1,
786,SR11002,A,WO,20000,2021-02-25,AE21022438,0,SSA013082500,122,1,사용수,30,9000.0,90.0,0,KG,,0.0,0.0,1,
787,SR15500,A,WO,20000,2021-02-25,AE21022438,0,SSA013082500,122,2,공기연행제,6,1000.0,10.0,0,KG,CJ !!,0.0,0.0,1,
788,SR15500,A,WO,20000,2021-02-25,AE21022515,0,SSA073046500,288,1,공기연행제,5,1000.0,100.0,0,KG,CJ !!,0.0,20.0,1,
789,SR11002,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,1,사용수,30,5256.0,65.7,0,KG,재활용수금지,24.0,0.0,1,
790,SR13801,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,2,액상리그닌,3,4.0,0.05,0,KG,,0.0,0.0,1,
791,SR35224,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,4,WRE-770,18,1720.0,21.5,0,KG,,0.0,0.0,1,
792,SR35500,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,6,PEMA-500FR,13,520.0,6.5,0,KG,,0.0,0.0,1,
793,SR35556,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,5,PEMA-630XR,11,320.0,4.0,0,KG,,0.0,0.0,1,
794,SR35903,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,7,PCA3000,10,160.0,2.0,0,KG,마지막투입,0.0,0.0,1,
795,SR68222,A,WO,20000,2021-02-25,CSA521022435,0,PEMA033035307,54,3,소포제(MR-130),0,20.0,0.25,0,KG,,0.0,0.0,1,
796,SR11002,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,1,사용수,30,5026.0,71.8,0,KG,재활용수560KG,14.0,60.0,1,
797,SR13801,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,2,액상리그닌,3,7.0,0.1,0,KG,,0.0,0.0,1,
798,SR16600,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,5,RA-300S,1,490.0,7.0,0,KG,,0.0,5.0,1,
799,SR35224,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,4,WRE-770,18,1050.0,15.0,0,KG,,0.0,20.0,1,
800,SR35758,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,7,M30,7,140.0,2.0,0,KG,마지막투입,0.0,30.0,1,
801,SR35903,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,6,PCA3000,10,280.0,4.0,0,KG,,0.0,30.0,1,
802,SR68222,A,WO,20000,2021-02-25,CSA521022522,0,PEMA033023004,28,3,소포제(MR-130),0,7.0,0.1,0,KG,,0.0,0.0,1,
803,SR11002,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,1,사용수,30,6280.0,62.8,0,KG,재활용수금지,20.0,60.0,1,
804,SR13801,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
805,SR35224,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,4,WRE-770,18,1500.0,15.0,0,KG,,0.0,20.0,1,
806,SR35903,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,6,PCA3000,10,500.0,5.0,0,KG,마지막투입,0.0,30.0,1,
807,SR35904,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,5,Urea-20%,4,1700.0,17.0,0,KG,,0.0,40.0,1,
808,SR68222,A,WO,20000,2021-02-25,HR1021022434,0,PEMA013082500,125,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
809,SR11002,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,1,사용수,30,3745.0,53.5,0,KG,재활용수560kg적용,14.0,60.0,1,
810,SR13801,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,2,액상리그닌,3,7.0,0.1,0,KG,,0.0,0.0,1,
811,SR16600,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,6,RA-300S,1,161.0,2.3,0,KG,,0.0,5.0,1,
812,SR35224,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,4,WRE-770,18,1050.0,15.0,0,KG,,0.0,20.0,1,
813,SR35903,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,7,PCA3000,10,490.0,7.0,0,KG,마지막투입,0.0,20.0,1,
814,SR35904,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,5,Urea-20%,4,1540.0,22.0,0,KG,,0.0,25.0,1,
815,SR68222,A,WO,20000,2021-02-25,HR1021022502,0,PEMA023077800,35,3,소포제(MR-130),0,7.0,0.1,0,KG,,0.0,0.0,1,
816,SR11002,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,1,사용수,30,5970.0,59.7,0,KG,재활용수800KG,20.0,60.0,1,
817,SR13801,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
818,SR16002,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,4,글루콘산소다,2,700.0,7.0,0,KG,,0.0,40.0,1,
819,SR16600,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,7,RA-300S,1,110.0,1.1,0,KG,,0.0,5.0,1,
820,SR35224,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,5,WRE-770,18,640.0,6.4,0,KG,,0.0,20.0,1,
821,SR35228,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,6,SRE-200SD-T,14,2560.0,25.6,0,KG,,0.0,10.0,1,
822,SR68222,A,WO,20000,2021-02-25,HR1021022510,0,PEMA033009000,124,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
823,SR11002,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,1,사용수,30,3040.0,60.8,0,KG,재활용수400kg,10.0,60.0,1,
824,SR13801,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,2,액상리그닌,3,5.0,0.1,0,KG,,0.0,0.0,1,
825,SR16002,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,4,글루콘산소다,2,175.0,3.5,0,KG,,0.0,40.0,1,
826,SR16600,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,8,RA-300S,1,150.0,3.0,0,KG,,0.0,5.0,1,
827,SR35224,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,5,WRE-770,18,715.0,14.3,0,KG,,0.0,20.0,1,
828,SR35228,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,6,SRE-200SD-T,14,385.0,7.7,0,KG,,0.0,10.0,1,
829,SR35904,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,7,Urea-20%,4,525.0,10.5,0,KG,,0.0,25.0,1,
830,SR68222,A,WO,20000,2021-02-25,HR1021022511,0,PEMA023058622,2,3,소포제(MR-130),0,5.0,0.1,0,KG,,0.0,0.0,1,
831,SR11002,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,1,사용수,30,4781.6,59.77,0,KG,재활용수600kg적용,16.0,60.0,1,
832,SR13801,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,2,액상리그닌,3,8.0,0.1,0,KG,,0.0,0.0,1,
833,SR16600,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,7,RA-300S,1,84.0,1.05,0,KG,,0.0,5.0,1,
834,SR35224,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,4,WRE-770,18,1000.0,12.5,0,KG,,0.0,20.0,1,
835,SR35225,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,5,WRE-550T,21,878.4,10.98,0,KG,,0.0,15.0,1,
836,SR35903,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,8,PCA3000,10,480.0,6.0,0,KG,마지막투입,0.0,20.0,1,
837,SR35904,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,6,Urea-20%,4,760.0,9.5,0,KG,,0.0,25.0,1,
838,SR68222,A,WO,20000,2021-02-25,HR1021022516,0,PEMA043023200,132,3,소포제(MR-130),0,8.0,0.1,0,KG,,0.0,0.0,1,
839,SR11002,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,1,사용수,30,4207.0,84.14,0,KG,재활용수400kg,7.5,60.0,1,
840,SR13801,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,2,액상리그닌,3,2.5,0.05,0,KG,,0.0,0.0,1,
841,SR16600,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,7,RA-300S,1,62.5,1.25,0,KG,,0.0,5.0,1,
842,SR35218,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,5,WRE-580FX(55%),16,340.5,6.81,0,KG,,0.0,15.0,1,
843,SR35225,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,6,WRE-550T,21,375.0,7.5,0,KG,,0.0,15.0,1,
844,SR38117,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,3,PC소포제,0,5.0,0.1,0,KG,,0.0,0.0,1,
845,SR68222,A,WO,20000,2021-02-25,HR1021022517,0,PEMA013112900,50,4,소포제(MR-130),0,7.5,0.15,0,KG,,0.0,0.0,1,
846,SR11002,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,1,사용수,30,3593.0,71.86,0,KG,재활용수금지,13.5,60.0,1,
847,SR35218,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,5,WRE-580FX(55%),16,604.5,12.09,0,KG,,0.0,15.0,1,
848,SR35225,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,6,WRE-550T,21,664.0,13.28,0,KG,,0.0,15.0,1,
849,SR35758,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,7,M30,7,115.0,2.3,0,KG,마지막투입,0.0,30.0,1,
850,SR35905,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,4,VK1000,0,10.0,0.2,0,KG,사용수+VK교반,0.0,0.0,1,
851,SR38117,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,2,PC소포제,0,6.0,0.12,0,KG,,0.0,0.0,1,
852,SR68222,A,WO,20000,2021-02-25,HR1021022522,0,PEMA053049403,62,3,소포제(MR-130),0,7.5,0.15,0,KG,,0.0,0.0,1,
853,SR11002,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,1,사용수,30,6175.0,61.75,0,KG,재활용수800kg적용,25.0,60.0,1,
854,SR13801,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
855,SR16002,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,4,글루콘산소다,2,300.0,3.0,0,KG,,0.0,40.0,1,
856,SR16600,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,7,RA-300S,1,150.0,1.5,0,KG,,0.0,5.0,1,
857,SR35224,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,5,WRE-770,18,1300.0,13.0,0,KG,,0.0,20.0,1,
858,SR35903,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,8,PCA3000,10,600.0,6.0,0,KG,마지막 투입해주세요,0.0,30.0,1,
859,SR35904,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,6,Urea-20%,4,1450.0,14.5,0,KG,,0.0,40.0,1,
860,SR68222,A,WO,20000,2021-02-25,HR1021022526,0,PEMA013061000,72,3,소포제(MR-130),0,15.0,0.15,0,KG,,0.0,0.0,1,
861,SR11002,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,1,사용수,30,5280.0,52.8,0,KG,재활용수800kg적용!,20.0,45.0,1,
862,SR13801,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,2,액상리그닌,3,10.0,0.1,0,KG,,0.0,0.0,1,
863,SR15500,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,8,공기연행제,5,100.0,1.0,0,KG,CJ !!,0.0,20.0,1,
864,SR16002,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,4,글루콘산소다,2,300.0,3.0,0,KG,,0.0,35.0,1,
865,SR35210,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,6,PEMA-WRE-600(5,0,1365.0,13.65,0,KG,,0.0,0.0,1,
866,SR35228,A,WO,20000,2021-02-25,HR1021022527,0,PEMA013063800,166,5,SRE-200SD-T,14,735.0,7.35,0,KG,,0.0,10.0,1,
