,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명
6648,2002900,TSN4012032804,7000,1301,9107000,2020-01-14,2020-01-17,PEMA-SN400
6649,2007600,TSN4012032804,7000,2133,14931000,2020-02-08,2020-02-11,PEMA-SN400
6659,2007600,TSN4012032804,7000,2133,14931000,2020-12-01,2020-12-04,PEMA-SN400
6660,2003000,TSN4012039101,3000,1302,3906000,2020-01-14,2020-01-17,PEMA-SN400
6666,2003100,PEMA013061400,5000,1303,6515000,2020-01-14,2020-01-17,PEMA-SR2000
6672,2003200,PEMA043037801,2000,1304,2608000,2020-01-14,2020-01-17,PEMA-SR2000
6673,2006900,PEMA043037801,2000,1629,3258000,2020-01-26,2020-01-29,PEMA-SR2000
6674,2003700,PEMA043037801,3000,2090,6270000,2020-02-07,2020-02-10,PEMA-SR2000
6690,2003300,PEMA033109400,5000,1305,6525000,2020-01-14,2020-01-17,PEMA-SR3000F
6691,2003400,PEMA033109400,7000,1590,11130000,2020-01-25,2020-01-28,PEMA-SR3000F
6692,2006600,PEMA033109400,5000,2191,10955000,2020-02-11,2020-02-14,PEMA-SR3000F
6711,2006600,PEMA033109400,5000,2191,10955000,2020-12-04,2020-12-07,PEMA-SR3000F
6712,2007700,PEMA033109400,5000,2560,12800000,2020-12-16,2020-12-19,PEMA-SR3000F
6713,2007700,PEMA033109400,5000,2560,12800000,2020-12-26,2020-12-29,PEMA-SR3000F
6714,2003600,PEMA023076910,10000,1308,13080000,2020-01-15,2020-01-18,CSA5000
6715,2004100,PEMA023076910,10000,2165,21650000,2020-02-11,2020-02-14,CSA5000
6729,2004100,PEMA023076910,10000,2165,21650000,2020-12-04,2020-12-07,CSA5000
6730,2002000,PEMA023076910,10000,2641,26410000,2020-12-19,2020-12-22,CSA5000
6731,2002000,PEMA023076910,10000,2641,26410000,2020-12-29,2021-01-01,CSA5000
6732,2003700,PEMA023109400,10000,1309,13090000,2020-01-15,2020-01-18,PEMA-HR1000
6734,2004600,PEMA023109400,5000,2029,10145000,2020-02-07,2020-02-09,PEMA-HR1000
6763,2003800,PEMA013119500,10000,1310,13100000,2020-01-15,2020-01-18,PEMA-HR1000
6765,2007500,PEMA013119500,10000,2061,20610000,2020-02-07,2020-02-10,PEMA-HR1000
6766,2005400,PEMA013119500,10000,2463,24630000,2020-02-21,2020-02-24,PEMA-HR1000
6786,2005400,PEMA013119500,10000,2463,24630000,2020-12-14,2020-12-17,PEMA-HR1000
6787,2005400,PEMA013119500,10000,2463,24630000,2020-12-24,2020-12-27,PEMA-HR1000
6788,2004000,PEMA013035322,7000,1312,9184000,2020-01-15,2020-01-18,PEMA-HR1500
6789,2005000,PEMA013035322,7000,1820,12740000,2020-02-02,2020-02-05,PEMA-HR1500
6804,2007100,PEMA013035322,7000,2554,17878000,2020-12-16,2020-12-19,PEMA-HR1500
6805,2007100,PEMA013035322,7000,2554,17878000,2020-12-26,2020-12-29,PEMA-HR1500
6806,2004200,PEMA053062006,7000,1315,9205000,2020-01-15,2020-01-18,PEMA-SR2000
6807,2001102,PEMA053062006,7000,1497,10479000,2020-01-21,2020-01-24,PEMA-SR2000
6808,2006600,PEMA053062006,7000,2262,15834000,2020-02-13,2020-02-16,PEMA-SR2000
6809,2005900,PEMA053062006,7000,2397,16779000,2020-02-19,2020-02-22,PEMA-SR2000
6828,2006600,PEMA053062006,7000,2262,15834000,2020-12-06,2020-12-09,PEMA-SR2000
6829,2005900,PEMA053062006,7000,2397,16779000,2020-12-12,2020-12-15,PEMA-SR2000
6830,2005900,PEMA053062006,7000,2397,16779000,2020-12-22,2020-12-25,PEMA-SR2000
6831,2004300,PEMA023013000,5000,1316,6580000,2020-01-15,2020-01-18,PEMA-SR3000F
6843,2004400,PEMA043072100,10000,1317,13170000,2020-01-15,2020-01-18,PEMA-SR3000F
6844,2003300,PEMA043072100,10000,2157,21570000,2020-02-09,2020-02-12,PEMA-SR3000F
6854,2003300,PEMA043072100,10000,2157,21570000,2020-12-02,2020-12-05,PEMA-SR3000F
6855,2004500,PEMA033074100,2000,1318,2636000,2020-01-17,2020-01-20,PEMA-580FX
6856,2004600,PEMA033074100,23000,1319,30337000,2020-01-17,2020-01-20,PEMA-580FX
6857,2003400,PEMA033074100,23000,2229,51267000,2020-02-13,2020-02-16,PEMA-580FX
6858,2003500,PEMA033074100,2000,2230,4460000,2020-02-13,2020-02-16,PEMA-580FX
6877,2003400,PEMA033074100,23000,2229,51267000,2020-12-06,2020-12-09,PEMA-580FX
6878,2003500,PEMA033074100,2000,2230,4460000,2020-12-06,2020-12-09,PEMA-580FX
6879,2004901,PEMA023024000,10000,1322,13220000,2020-01-17,2020-01-20,CSA5000
6881,2007100,PEMA023024000,10000,2199,21990000,2020-02-12,2020-02-15,CSA5000
6896,2007100,PEMA023024000,10000,2199,21990000,2020-12-05,2020-12-08,CSA5000
6897,2005000,PEMA033109700,10000,1323,13230000,2020-01-17,2020-01-20,CSA5000
6898,2003000,PEMA033109700,10000,1799,17990000,2020-02-02,2020-02-05,CSA5000
6909,2005100,PEMA023104400,9000,1324,11916000,2020-01-17,2020-01-20,PEMA-HR1500
6910,2006900,PEMA023104400,10000,1913,19130000,2020-02-04,2020-02-07,PEMA-HR1500
6911,2005800,PEMA023104400,10000,2254,22540000,2020-02-13,2020-02-16,PEMA-HR1500
6912,2005000,PEMA023104400,10000,2388,23880000,2020-02-19,2020-02-22,PEMA-HR1500
6935,2005800,PEMA023104400,10000,2254,22540000,2020-12-06,2020-12-09,PEMA-HR1500
6936,2005000,PEMA023104400,10000,2388,23880000,2020-12-12,2020-12-15,PEMA-HR1500
6937,2003400,PEMA023104400,10000,2584,25840000,2020-12-18,2020-12-21,PEMA-HR1500
6938,2005000,PEMA023104400,10000,2388,23880000,2020-12-22,2020-12-25,PEMA-HR1500
6939,2003400,PEMA023104400,10000,2584,25840000,2020-12-28,2020-12-31,PEMA-HR1500
6940,2005200,PEMA013122500,10000,1325,13250000,2020-01-17,2020-01-20,PEMA-HR1000
6946,2005300,PEMA013119000,8000,1326,10608000,2020-01-17,2020-01-20,PEMA-HR1000
6958,2005400,PEMA013043200,15000,1327,19905000,2020-01-17,2020-01-20,PEMA-HR1000
6959,2004700,PEMA013043200,10000,2030,20300000,2020-02-07,2020-02-09,PEMA-HR1000
6960,2005100,PEMA013043200,7000,2247,15729000,2020-02-13,2020-02-16,PEMA-HR1000
6961,2004400,PEMA013043200,10000,2382,23820000,2020-02-19,2020-02-22,PEMA-HR1000
6980,2005100,PEMA013043200,7000,2247,15729000,2020-12-06,2020-12-09,PEMA-HR1000
6981,2004400,PEMA013043200,10000,2382,23820000,2020-12-12,2020-12-15,PEMA-HR1000
6982,2004400,PEMA013043200,10000,2382,23820000,2020-12-22,2020-12-25,PEMA-HR1000
6983,2005600,PEMA013026702,5000,1329,6645000,2020-01-17,2020-01-20,PEMA-HR1000
6984,2005700,PEMA013026702,5000,1330,6650000,2020-01-17,2020-01-20,PEMA-HR1000
6985,2006000,PEMA013026702,8000,1901,15208000,2020-02-04,2020-02-07,PEMA-HR1000
7001,2005800,PEMA013128300,7000,1331,9317000,2020-01-17,2020-01-20,PEMA-HR1000
7002,2001400,PEMA013128300,2000,1855,3710000,2020-02-03,2020-02-06,PEMA-HR1000
7003,2001500,PEMA013128300,3000,1856,5568000,2020-02-03,2020-02-06,PEMA-HR1000
7004,2002100,PEMA013128300,5000,2145,10725000,2020-02-09,2020-02-12,PEMA-HR1000
7032,2002100,PEMA013128300,5000,2145,10725000,2020-12-02,2020-12-05,PEMA-HR1000
7033,2005400,PEMA013128300,5000,2605,13025000,2020-12-19,2020-12-22,PEMA-HR1000
7034,2005500,PEMA013128300,2000,2606,5212000,2020-12-19,2020-12-22,PEMA-HR1000
7035,2005400,PEMA013128300,5000,2605,13025000,2020-12-29,2021-01-01,PEMA-HR1000
7036,2005500,PEMA013128300,2000,2606,5212000,2020-12-29,2021-01-01,PEMA-HR1000
7037,2006200,PEMA013010900,10000,1335,13350000,2020-01-17,2020-01-20,PEMA-HR1000
7039,2006100,PEMA013010900,10000,2115,21150000,2020-02-08,2020-02-11,PEMA-HR1000
7040,2002400,PEMA013010900,10000,2503,25030000,2020-02-21,2020-02-24,PEMA-HR1000
7059,2006100,PEMA013010900,10000,2115,21150000,2020-12-01,2020-12-04,PEMA-HR1000
7060,2002400,PEMA013010900,10000,2503,25030000,2020-12-14,2020-12-17,PEMA-HR1000
7061,2002400,PEMA013010900,10000,2503,25030000,2020-12-24,2020-12-27,PEMA-HR1000
7062,2006300,PEMA013104400,10000,1336,13360000,2020-01-17,2020-01-20,PEMA-HR1000
7068,2006500,PEMA013004501,10000,1338,13380000,2020-01-17,2020-01-20,PEMA-HR1500
7069,2006000,PEMA013004501,10000,2256,22560000,2020-02-13,2020-02-16,PEMA-HR1500
7079,2006000,PEMA013004501,10000,2256,22560000,2020-12-06,2020-12-09,PEMA-HR1500
7080,2006600,PEMA043023001,8000,1339,10712000,2020-01-17,2020-01-20,PEMA-HR1500
7081,2006700,PEMA043023001,5000,1911,9555000,2020-02-04,2020-02-07,PEMA-HR1500
7092,2006606,PEMA143057600,10000,1340,13400000,2020-01-17,2020-01-20,PEMA-HR1500
7093,2001800,PEMA143057600,10000,1575,15750000,2020-01-25,2020-01-28,PEMA-HR1500
7094,2006800,PEMA143057600,10000,1912,19120000,2020-02-04,2020-02-07,PEMA-HR1500
7095,2006500,PEMA143057600,10000,2119,21190000,2020-02-08,2020-02-11,PEMA-HR1500
7096,2003300,PEMA143057600,10000,2370,23700000,2020-02-18,2020-02-21,PEMA-HR1500
7124,2006500,PEMA143057600,10000,2119,21190000,2020-12-01,2020-12-04,PEMA-HR1500
7125,2003300,PEMA143057600,10000,2370,23700000,2020-12-11,2020-12-14,PEMA-HR1500
7128,2006700,PEMA013129802,15000,1343,20145000,2020-01-17,2020-01-20,PEMA-PR1000
7129,2006800,PEMA013129802,10000,1344,13440000,2020-01-17,2020-01-20,PEMA-PR1000
7130,2005200,PEMA013129802,22000,1822,40084000,2020-02-02,2020-02-05,PEMA-PR1000
7131,2005300,PEMA013129802,3000,1823,5469000,2020-02-02,2020-02-05,PEMA-PR1000
7132,2002400,PEMA013129802,22000,2219,48818000,2020-02-12,2020-02-15,PEMA-PR1000
7133,2002500,PEMA013129802,3000,2220,6660000,2020-02-12,2020-02-15,PEMA-PR1000
7170,2002400,PEMA013129802,22000,2219,48818000,2020-12-05,2020-12-08,PEMA-PR1000
7171,2002500,PEMA013129802,3000,2220,6660000,2020-12-05,2020-12-08,PEMA-PR1000
7176,2007000,PEMA053048500,10000,1346,13460000,2020-01-17,2020-01-20,PEMA-SR2000A
7177,2003800,PEMA053048500,5000,2091,10455000,2020-02-07,2020-02-10,PEMA-SR2000A
7188,2007100,PEMA033023006,5000,1347,6735000,2020-01-17,2020-01-20,PEMA-SR3000F
7194,2007600,SSA013085300,7000,1352,9464000,2020-01-18,2020-01-21,AE
7200,2007700,PEMA033040300,10000,1353,13530000,2020-01-18,2020-01-21,PEMA-CR1000
7206,2001200,PEMA043099300,10000,1356,13560000,2020-01-18,2020-01-21,CSA5000
7207,2006800,PEMA043099300,5000,1983,9915000,2020-02-07,2020-02-08,CSA5000
7208,2006900,PEMA043099300,5000,1984,9920000,2020-02-07,2020-02-08,CSA5000
7228,2002000,PEMA043099300,10000,2499,24990000,2020-12-15,2020-12-18,CSA5000
7229,2002000,PEMA043099300,10000,2499,24990000,2020-12-25,2020-12-28,CSA5000
7230,2001300,PEMA013070800,10000,1357,13570000,2020-01-18,2020-01-21,CSA5000
7231,2006606,PEMA013070800,10000,2050,20500000,2020-02-07,2020-02-10,CSA5000
7246,2001700,PEMA013070800,10000,2497,24970000,2020-12-15,2020-12-18,CSA5000
7247,2001700,PEMA013070800,10000,2497,24970000,2020-12-25,2020-12-28,CSA5000
7248,2001800,PEMA013116100,10000,1362,13620000,2020-01-18,2020-01-21,PEMA-HR1000
7254,2002000,PEMA023058200,9000,1363,12267000,2020-01-18,2020-01-21,PEMA-HR1000
7255,2005000,PEMA023058200,9000,2104,18936000,2020-02-08,2020-02-11,PEMA-HR1000
7265,2005000,PEMA023058200,9000,2104,18936000,2020-12-01,2020-12-04,PEMA-HR1000
7266,2002100,PEMA023105100,10000,1364,13640000,2020-01-18,2020-01-21,PEMA-HR1000
7267,2007500,PEMA023105100,10000,1848,18480000,2020-02-03,2020-02-06,PEMA-HR1000
7288,2006700,PEMA023105100,10000,2550,25500000,2020-12-16,2020-12-19,PEMA-HR1000
7289,2006700,PEMA023105100,10000,2550,25500000,2020-12-26,2020-12-29,PEMA-HR1000
7290,2002200,PEMA013132400,7000,1365,9555000,2020-01-18,2020-01-21,PEMA-HR1000
7291,2001400,PEMA013132400,8000,1997,15976000,2020-02-07,2020-02-08,PEMA-HR1000
7302,2002300,PEMA153048300,10000,1366,13660000,2020-01-18,2020-01-21,PEMA-HR1000
7314,2003100,PEMA253048300,8000,1374,10992000,2020-01-18,2020-01-21,PEMA-HR1000
7317,2002500,PEMA253048300,7000,2362,16534000,2020-02-18,2020-02-21,PEMA-HR1000
7337,2002500,PEMA253048300,7000,2362,16534000,2020-12-11,2020-12-14,PEMA-HR1000
7338,2003500,PEMA023113300,10000,1378,13780000,2020-01-18,2020-01-21,PEMA-HR1500
7350,2003900,PEMA333048200,10000,1382,13820000,2020-01-18,2020-01-21,PEMA-SR2000
7356,2004000,PEMA043043200,7000,1383,9681000,2020-01-18,2020-01-21,PEMA-SR2000A
7357,2007000,PEMA043043200,7000,1630,11410000,2020-01-26,2020-01-29,PEMA-SR2000A
7358,2007800,PEMA043043200,7000,1922,13454000,2020-02-04,2020-02-07,PEMA-SR2000A
7359,2001200,PEMA043043200,7000,2137,14959000,2020-02-08,2020-02-11,PEMA-SR2000A
7360,2006000,PEMA043043200,7000,2398,16786000,2020-02-19,2020-02-22,PEMA-SR2000A
7388,2001200,PEMA043043200,7000,2137,14959000,2020-12-01,2020-12-04,PEMA-SR2000A
7389,2006000,PEMA043043200,7000,2398,16786000,2020-12-12,2020-12-15,PEMA-SR2000A
7391,2006000,PEMA043043200,7000,2398,16786000,2020-12-22,2020-12-25,PEMA-SR2000A
7393,2004104,PEMA043046500,3000,1385,4155000,2020-01-18,2020-01-21,PEMA-SR3000F
7405,2004300,PEMA013113800,15000,1387,20805000,2020-01-19,2020-01-22,PEMA-580FX
7411,2004400,SSA013035309,2000,1388,2776000,2020-01-19,2020-01-22,AE
7412,2006100,SSA013035309,1000,1973,1973000,2020-02-07,2020-02-08,AE
7423,2004600,PEMA023037900,8000,1390,11120000,2020-01-19,2020-01-22,CSA5000
7429,2004800,PEMA013031700,10000,1392,13920000,2020-01-19,2020-01-22,CSA5000
7430,2007302,PEMA013031700,10000,2201,22010000,2020-02-12,2020-02-15,CSA5000
7440,2007302,PEMA013031700,10000,2201,22010000,2020-12-05,2020-12-08,CSA5000
7441,2005400,PEMA013048900,8000,1398,11184000,2020-01-19,2020-01-22,PEMA-HR1000
7443,2001600,PEMA013048900,8000,2070,16560000,2020-02-07,2020-02-10,PEMA-HR1000
7444,2005400,PEMA013048900,8000,2321,18568000,2020-02-15,2020-02-18,PEMA-HR1000
7464,2005400,PEMA013048900,8000,2321,18568000,2020-12-08,2020-12-11,PEMA-HR1000
7465,2005500,PEMA013114400,10000,1399,13990000,2020-01-19,2020-01-22,PEMA-HR1000
7466,2007600,PEMA013114400,10000,1849,18490000,2020-02-03,2020-02-06,PEMA-HR1000
7484,2005900,PEMA013075900,10000,1403,14030000,2020-01-19,2020-01-22,PEMA-HR1000
7490,2006100,PEMA023034201,7000,1405,9835000,2020-01-19,2020-01-22,PEMA-HR1000
7491,2002300,PEMA023034201,7000,2360,16520000,2020-02-18,2020-02-21,PEMA-HR1000
7501,2002300,PEMA023034201,7000,2360,16520000,2020-12-11,2020-12-14,PEMA-HR1000
7502,2006200,PEMA013087700,10000,1406,14060000,2020-01-19,2020-01-22,PEMA-HR1000
7503,2005700,PEMA013087700,10000,1898,18980000,2020-02-04,2020-02-07,PEMA-HR1000
7504,2006100,PEMA013087700,10000,2470,24700000,2020-02-21,2020-02-24,PEMA-HR1000
7519,2006100,PEMA013087700,10000,2470,24700000,2020-12-14,2020-12-17,PEMA-HR1000
7520,2006100,PEMA013087700,10000,2470,24700000,2020-12-24,2020-12-27,PEMA-HR1000
7521,2006300,PEMA013044801,10000,1407,14070000,2020-01-19,2020-01-22,PEMA-HR1000
7522,2005000,PEMA013044801,10000,2317,23170000,2020-02-15,2020-02-18,PEMA-HR1000
7532,2005000,PEMA013044801,10000,2317,23170000,2020-12-08,2020-12-11,PEMA-HR1000
7533,2006500,PEMA013115800,5000,1409,7045000,2020-01-19,2020-01-22,PEMA-HR1000
7534,2006600,PEMA013115800,5000,1410,7050000,2020-01-19,2020-01-22,PEMA-HR1000
7545,2006609,PEMA023061000,7000,1412,9884000,2020-01-19,2020-01-22,PEMA-HR1500
7546,2006000,PEMA023061000,3000,1617,4851000,2020-01-26,2020-01-29,PEMA-HR1500
7557,2007400,PEMA023019800,2000,1421,2842000,2020-01-19,2020-01-22,PEMA-PR1000
7563,2001102,SSA013035315,3000,1426,4278000,2020-01-19,2020-01-22,AE
7569,2001200,SSA013069401,10000,1427,14270000,2020-01-19,2020-01-22,AE
7579,2001400,SSA013069401,10000,2494,24940000,2020-12-15,2020-12-18,AE
7580,2001400,SSA013069401,10000,2494,24940000,2020-12-25,2020-12-28,AE
7581,2001500,PEMA013020300,10000,1430,14300000,2020-01-20,2020-01-23,CSA5000
7582,2001300,PEMA013020300,10000,1925,19250000,2020-02-05,2020-02-07,CSA5000
7583,2003700,PEMA013020300,10000,2374,23740000,2020-02-19,2020-02-22,CSA5000
7602,2003700,PEMA013020300,10000,2374,23740000,2020-12-12,2020-12-15,CSA5000
7603,2005800,PEMA013020300,10000,2680,26800000,2020-12-21,2020-12-24,CSA5000
7604,2003700,PEMA013020300,10000,2374,23740000,2020-12-22,2020-12-25,CSA5000
7605,2005800,PEMA013020300,10000,2680,26800000,2020-12-31,2021-01-03,CSA5000
7606,2001600,PEMA043116900,10000,1431,14310000,2020-01-20,2020-01-23,CSA5000
7612,2002000,PEMA013126100,8000,1434,11472000,2020-01-20,2020-01-23,CSA5000
7624,2002800,PEMA013117000,5000,1442,7210000,2020-01-20,2020-01-23,PEMA-HR1000
7630,2002900,PEMA013058620,10000,1443,14430000,2020-01-20,2020-01-23,PEMA-HR1000
7636,2003000,PEMA013073200,10000,1444,14440000,2020-01-20,2020-01-23,PEMA-HR1000
7642,2003100,PEMA023026700,10000,1445,14450000,2020-01-20,2020-01-23,PEMA-HR1000
7648,2003400,PEMA013013100,10000,1448,14480000,2020-01-20,2020-01-23,PEMA-HR1000
7654,2003500,PEMA013052400,7000,1449,10143000,2020-01-20,2020-01-23,PEMA-HR1000
7664,2002400,PEMA013052400,7000,2574,18018000,2020-12-18,2020-12-21,PEMA-HR1000
7665,2002400,PEMA013052400,7000,2574,18018000,2020-12-28,2020-12-31,PEMA-HR1000
7666,2003800,PEMA033035315,5000,1452,7260000,2020-01-19,2020-01-22,PEMA-HR1500
7667,2002300,PEMA033035315,8000,2076,16608000,2020-02-07,2020-02-10,PEMA-HR1500
7678,2004000,PEMA033060200,10000,1454,14540000,2020-01-20,2020-01-23,PEMA-HR1500
7690,2004600,TSN4012000306,5000,1461,7305000,2020-01-20,2020-01-23,PEMA-SN400
7696,2004800,PEMA053048519,5000,1463,7315000,2020-01-20,2020-01-23,PEMA-SR2000
7697,2007800,PEMA053048519,6000,2135,12810000,2020-02-08,2020-02-11,PEMA-SR2000
7707,2007800,PEMA053048519,6000,2135,12810000,2020-12-01,2020-12-04,PEMA-SR2000
7708,2004901,PEMA013076910,10000,1464,14640000,2020-01-20,2020-01-23,PEMA-SR2000
7714,2005500,SSA013089210,2000,1470,2940000,2020-01-21,2020-01-24,AE
7720,2005900,PEMA023054400,8000,1474,11792000,2020-01-21,2020-01-24,CSA5000
7721,2006700,PEMA023054400,5000,1840,9200000,2020-02-03,2020-02-06,CSA5000
7739,2006000,PEMA023048701,7000,1475,10325000,2020-01-21,2020-01-24,CSA5000
7745,2006200,PEMA013064802,8000,1477,11816000,2020-01-20,2020-01-23,PEMA-HR1000
7755,2003100,PEMA013064802,8000,2510,20080000,2020-12-15,2020-12-18,PEMA-HR1000
7756,2003100,PEMA013064802,8000,2510,20080000,2020-12-25,2020-12-28,PEMA-HR1000
7757,2006300,PEMA013103910,7000,1478,10346000,2020-01-21,2020-01-24,PEMA-HR1000
7763,2006400,PEMA373048300,7000,1479,10353000,2020-01-21,2020-01-24,PEMA-HR1000
7764,2001400,PEMA373048300,5000,2068,10340000,2020-02-07,2020-02-10,PEMA-HR1000
7775,2006600,PEMA013116700,10000,1481,14810000,2020-01-21,2020-01-24,PEMA-HR1000
7776,2007700,PEMA013116700,10000,1850,18500000,2020-02-03,2020-02-06,PEMA-HR1000
7777,2007700,PEMA013116700,10000,2205,22050000,2020-02-12,2020-02-15,PEMA-HR1000
7792,2007700,PEMA013116700,10000,2205,22050000,2020-12-05,2020-12-08,PEMA-HR1000
7793,2006609,PEMA043019000,10000,1483,14830000,2020-01-21,2020-01-24,PEMA-HR1000
7799,2006612,PEMA013089210,8000,1484,11872000,2020-01-21,2020-01-24,PEMA-HR1000
7805,2006800,PEMA013117810,8000,1486,11888000,2020-01-21,2020-01-24,PEMA-HR1000
7811,2007200,PEMA353048300,7000,1490,10430000,2020-01-21,2020-01-24,PEMA-HR1000
7812,2006500,PEMA353048300,7000,1906,13342000,2020-02-04,2020-02-07,PEMA-HR1000
7813,2004800,PEMA353048300,7000,2173,15211000,2020-02-11,2020-02-14,PEMA-HR1000
7814,2005700,PEMA353048300,7000,2466,17262000,2020-02-21,2020-02-24,PEMA-HR1000
7837,2004800,PEMA353048300,7000,2173,15211000,2020-12-04,2020-12-07,PEMA-HR1000
7838,2005700,PEMA353048300,7000,2466,17262000,2020-12-14,2020-12-17,PEMA-HR1000
7839,2007600,PEMA353048300,7000,2716,19012000,2020-12-21,2020-12-24,PEMA-HR1000
7840,2005700,PEMA353048300,7000,2466,17262000,2020-12-24,2020-12-27,PEMA-HR1000
7841,2007600,PEMA353048300,7000,2716,19012000,2020-12-31,2021-01-03,PEMA-HR1000
7842,2007400,PEMA053061600,10000,1492,14920000,2020-01-21,2020-01-24,PEMA-HR1500
7843,2002000,PEMA053061600,10000,2215,22150000,2020-02-12,2020-02-15,PEMA-HR1500
7853,2002000,PEMA053061600,10000,2215,22150000,2020-12-05,2020-12-08,PEMA-HR1500
7854,2007500,PEMA023126700,10000,1493,14930000,2020-01-21,2020-01-24,PEMA-HR1500
7855,2005700,PEMA023126700,10000,2040,20400000,2020-02-07,2020-02-09,PEMA-HR1500
7856,2006606,PEMA023126700,10000,2476,24760000,2020-02-21,2020-02-24,PEMA-HR1500
7871,2006606,PEMA023126700,10000,2476,24760000,2020-12-14,2020-12-17,PEMA-HR1500
7872,2006606,PEMA023126700,10000,2476,24760000,2020-12-24,2020-12-27,PEMA-HR1500
7873,2001300,PEMA043072101,10000,1499,14990000,2020-01-21,2020-01-24,PEMA-SR5000F
7879,2001600,PEMA023089240,10000,1502,15020000,2020-01-21,2020-01-24,CSA5000
7880,2006900,PEMA023089240,10000,1842,18420000,2020-02-03,2020-02-06,CSA5000
7891,2001700,PEMA053072101,10000,1503,15030000,2020-01-22,2020-01-25,CSA5000
7897,2002100,PEMA013106100,10000,1506,15060000,2020-01-21,2020-01-24,PEMA-HR1000
7898,2005800,PEMA013106100,10000,2112,21120000,2020-02-08,2020-02-11,PEMA-HR1000
7908,2005800,PEMA013106100,10000,2112,21120000,2020-12-01,2020-12-04,PEMA-HR1000
7909,2002200,PEMA013031800,10000,1507,15070000,2020-01-21,2020-01-24,PEMA-HR1000
7910,2006100,PEMA013031800,10000,1902,19020000,2020-02-04,2020-02-07,PEMA-HR1000
7921,2002800,PEMA313001100,7000,1513,10591000,2020-01-22,2020-01-25,PEMA-HR1500
7935,2004000,PEMA313001100,10000,2519,25190000,2020-12-15,2020-12-18,PEMA-HR1500
7936,2004100,PEMA313001100,1540,2520,3880800,2020-12-15,2020-12-18,PEMA-HR1500
7937,2004000,PEMA313001100,10000,2519,25190000,2020-12-25,2020-12-28,PEMA-HR1500
7938,2004100,PEMA313001100,1540,2520,3880800,2020-12-25,2020-12-28,PEMA-HR1500
7939,2002900,PEMA403022500,6000,1514,9084000,2020-01-22,2020-01-25,PEMA-HR1500
7949,2004400,PEMA403022500,10000,2524,25240000,2020-12-15,2020-12-18,PEMA-HR1500
7950,2004400,PEMA403022500,10000,2524,25240000,2020-12-25,2020-12-28,PEMA-HR1500
7951,2003000,PEMA013048518,7000,1515,10605000,2020-01-22,2020-01-25,PEMA-HR1500
7952,2002100,PEMA013048518,7000,2216,15512000,2020-02-12,2020-02-15,PEMA-HR1500
7962,2002100,PEMA013048518,7000,2216,15512000,2020-12-05,2020-12-08,PEMA-HR1500
7963,2003100,PEMA013104200,5000,1516,7580000,2020-01-22,2020-01-25,PEMA-HR1500
7965,2002200,PEMA013104200,10000,2075,20750000,2020-02-07,2020-02-10,PEMA-HR1500
7987,2003200,PEMA013133000,4000,1517,6068000,2020-01-22,2020-01-25,PEMA-PCR3000N
7988,2003900,PEMA013133000,3000,1879,5637000,2020-02-03,2020-02-06,PEMA-PCR3000N
7999,2003300,PEMA013123000,5000,1518,7590000,2020-01-22,2020-01-25,PEMA-SR2000
8000,2003400,PEMA013123000,5000,1519,7595000,2020-01-22,2020-01-25,PEMA-SR2000
8001,2006400,PEMA013123000,10000,2189,21890000,2020-02-11,2020-02-14,PEMA-SR2000
8020,2006400,PEMA013123000,10000,2189,21890000,2020-12-04,2020-12-07,PEMA-SR2000
8021,2007800,PEMA013123000,10000,2718,27180000,2020-12-21,2020-12-24,PEMA-SR2000
8022,2007800,PEMA013123000,10000,2718,27180000,2020-12-31,2021-01-03,PEMA-SR2000
8023,2003500,PEMA043027100,3000,1520,4560000,2020-01-22,2020-01-25,PEMA-SR2000
8024,2002900,PEMA043027100,4000,2224,8896000,2020-02-12,2020-02-15,PEMA-SR2000
8034,2002900,PEMA043027100,4000,2224,8896000,2020-12-05,2020-12-08,PEMA-SR2000
8035,2003600,PEMA023027100,3000,1521,4563000,2020-01-22,2020-01-25,PEMA-SR3000F
8036,2003700,PEMA023027100,4000,1522,6088000,2020-01-22,2020-01-25,PEMA-SR3000F
8037,2003300,PEMA023027100,6000,2228,13368000,2020-02-12,2020-02-15,PEMA-SR3000F
8052,2003300,PEMA023027100,6000,2228,13368000,2020-12-05,2020-12-08,PEMA-SR3000F
8054,2005800,PEMA033040000,20000,1970,39400000,2020-02-07,2020-02-08,PEMA-580FX
8056,2003400,PEMA033040000,20000,2442,48840000,2020-02-21,2020-02-24,PEMA-580FX
8080,2003400,PEMA033040000,20000,2442,48840000,2020-12-14,2020-12-17,PEMA-580FX
8081,2005400,PEMA033040000,20000,2676,53520000,2020-12-21,2020-12-24,PEMA-580FX
8082,2003400,PEMA033040000,20000,2442,48840000,2020-12-24,2020-12-27,PEMA-580FX
8083,2005400,PEMA033040000,20000,2676,53520000,2020-12-31,2021-01-03,PEMA-580FX
8085,2004300,PEMA013012600,10000,2097,20970000,2020-02-08,2020-02-11,CSA5000
8095,2004300,PEMA013012600,10000,2097,20970000,2020-12-01,2020-12-04,CSA5000
8096,2004300,PEMA063048300,8000,1529,12232000,2020-01-24,2020-01-27,CSA5000
8097,2003900,PEMA063048300,10000,2234,22340000,2020-02-13,2020-02-16,CSA5000
8107,2003900,PEMA063048300,10000,2234,22340000,2020-12-06,2020-12-09,CSA5000
